Date,CCGT,Gas CHP-CCGT,Oil,Nuclear,Pumped Storage,OCGT,Coal,Wind (Onshore),Biomass,Wind (Offshore),Hydro
01/01/2015,"1667,17","1034,57","133,00","8192,22","-25,60","0,00","8876,36","2387,91","1616,89","3577,59","491,40"
02/01/2015,"3681,85","1099,14","133,00","8185,66","-67,31","0,00","11223,40","2502,89","1338,50","3455,96","617,00"
03/01/2015,"5813,19","2012,10","133,00","8177,84","-173,37","0,00","12764,09","1013,14","1320,54","1887,77","618,35"
04/01/2015,"6225,97","2039,45","133,00","8186,30","-78,01","0,63","13490,88","1040,93","1322,88","1152,07","624,86"
05/01/2015,"8527,89","2466,18","123,64","8171,24","-128,43","4,11","13681,60","1457,79","1596,79","2104,49","651,79"
06/01/2015,"7071,25","2216,72","130,84","8184,79","-87,24","0,00","14302,87","1370,41","1686,33","2869,01","665,81"
07/01/2015,"5031,38","1862,38","133,00","8254,28","-118,79","5,59","13625,60","2380,65","1684,25","3103,37","699,05"
08/01/2015,"5447,21","1790,78","133,00","8454,83","57,00","0,00","12544,41","2125,76","1688,00","3229,05","743,92"
09/01/2015,"4626,96","1434,79","133,00","8625,17","-91,04","0,00","11890,89","2214,39","1607,13","3499,94","718,04"
10/01/2015,"2688,83","1020,14","133,00","8807,00","-257,28","0,00","10051,42","2452,80","1451,44","3541,56","633,03"
11/01/2015,"2550,38","1022,87","133,00","9048,56","-136,99","0,00","9346,86","2459,04","1688,00","3616,71","638,08"
12/01/2015,"4986,85","1345,69","131,19","9049,21","147,79","0,00","11909,96","2410,79","1674,85","3392,81","691,05"
13/01/2015,"5752,81","1491,18","131,00","9059,59","-37,29","0,00","13245,46","1934,31","1664,88","3287,51","665,76"
14/01/2015,"5378,13","1708,85","131,00","9063,18","-143,29","4,95","13737,72","2083,89","954,76","3451,23","617,05"
15/01/2015,"5795,39","1150,93","131,00","9064,30","-91,01","2,60","13018,10","2313,34","798,50","3311,99","518,11"
16/01/2015,"6205,78","2148,47","131,00","9066,34","-183,94","0,35","14103,72","1718,75","1365,33","2852,61","472,20"
17/01/2015,"4875,94","2472,05","45,03","9056,58","-141,30","0,00","14139,16","729,09","1029,06","2743,27","484,19"
18/01/2015,"5959,80","2371,79","0,00","9041,19","-195,70","0,00","13534,64","1272,77","989,85","1551,68","420,58"
19/01/2015,"12569,58","2947,93","20,95","9025,91","18,83","20,27","14385,45","336,70","870,04","1179,82","414,05"
20/01/2015,"12743,99","3059,68","129,06","9017,93","-258,88","13,62","13897,08","641,26","1295,97","1629,31","349,65"
21/01/2015,"13022,66","2651,22","133,00","9026,04","-240,04","20,27","13127,69","413,05","1676,67","1868,30","374,07"
22/01/2015,"13299,08","2562,48","132,75","9025,88","-235,56","11,46","13842,09","498,94","1674,38","1107,29","394,86"
23/01/2015,"7509,79","1770,61","132,15","9013,25","-143,84","0,71","14880,46","2008,67","1668,97","2434,05","405,04"
24/01/2015,"4930,51","1619,83","132,00","8525,82","-18,68","0,00","11622,80","1641,60","1595,83","3442,94","448,14"
25/01/2015,"4764,17","1702,45","132,00","8512,79","-28,58","0,00","11631,99","1717,61","1318,00","2654,21","467,92"
26/01/2015,"6451,05","1931,27","132,00","8515,38","-12,13","0,00","13798,71","1663,50","1317,88","3198,36","510,58"
27/01/2015,"6692,64","1991,91","110,00","8516,46","-12,09","0,00","14738,07","1500,91","1578,63","2426,35","543,36"
28/01/2015,"4930,02","1330,11","110,00","8016,66","60,21","0,00","13218,95","2429,95","1680,00","3661,11","614,51"
29/01/2015,"7290,80","1902,02","110,00","7921,81","-111,87","5,64","14486,92","1291,09","1569,78","3573,30","689,65"
30/01/2015,"6892,10","1811,63","127,71","8214,27","-165,10","0,00","15004,09","1590,49","1505,87","2637,12","596,84"
31/01/2015,"3272,94","1155,72","130,00","8518,38","-178,03","0,63","12247,48","2176,62","1612,68","3028,67","525,68"
01/02/2015,"3847,96","1305,07","130,00","8522,58","-56,79","0,00","12263,91","1517,02","1449,75","3527,61","493,90"
02/02/2015,"10192,11","2192,47","125,57","8528,84","-87,47","12,19","15225,70","513,25","1687,13","2061,40","418,19"
03/02/2015,"10930,51","2690,75","130,00","8540,22","-199,14","15,53","15106,45","817,50","1685,17","1877,89","363,28"
04/02/2015,"11022,87","2859,23","130,00","8545,11","-135,32","4,11","14191,45","575,02","1686,64","2233,27","315,59"
05/02/2015,"11546,89","3130,10","130,00","8549,32","-109,07","17,44","13421,44","278,79","1622,16","2176,52","331,09"
06/02/2015,"11796,61","3126,72","130,00","8487,90","-44,78","0,00","12563,42","127,67","1452,55","2237,38","376,91"
07/02/2015,"8818,06","2678,38","125,05","8429,54","-216,84","0,00","11899,78","589,56","1693,40","1986,49","357,76"
08/02/2015,"7555,26","1975,45","111,25","8560,33","-247,06","0,00","11596,30","947,65","1688,50","2026,59","345,71"
09/02/2015,"12205,67","2898,11","110,00","8562,59","-191,19","0,00","12267,86","1334,55","1690,95","1419,66","342,02"
10/02/2015,"12329,00","2638,66","110,00","8548,87","-138,27","7,45","14275,47","566,77","1623,03","750,57","366,49"
11/02/2015,"11027,60","2534,03","110,00","8554,04","-42,51","0,00","14556,91","581,08","1454,97","901,88","374,17"
12/02/2015,"10291,32","2764,66","110,00","8554,40","-50,84","0,00","14526,75","504,06","1698,75","1054,03","360,06"
13/02/2015,"6477,56","1797,71","118,54","8546,08","-105,97","0,00","13653,64","1201,92","1696,09","3299,00","346,92"
14/02/2015,"4969,25","1387,04","116,46","8557,81","-84,79","0,00","14479,56","432,63","1689,17","2108,71","362,30"
15/02/2015,"3497,44","1217,38","110,00","8345,60","-171,66","0,00","13996,71","1673,33","1617,26","1635,22","357,33"
16/02/2015,"7559,50","1965,15","110,00","7997,00","-6,51","0,00","14666,01","1086,58","1455,04","1943,36","479,46"
17/02/2015,"5931,12","1897,54","118,63","8002,42","-127,62","0,00","13921,49","1831,50","1697,71","2376,66","446,00"
18/02/2015,"5532,02","1507,91","137,00","8010,17","-67,58","0,00","13495,41","2347,16","1697,71","2989,04","510,45"
19/02/2015,"5070,28","1694,44","135,03","8008,69","14,68","0,00","14365,30","1845,07","1694,79","3604,37","573,30"
20/02/2015,"6967,73","2145,79","121,23","8008,79","56,83","0,00","14312,55","988,66","1618,23","2240,70","596,90"
21/02/2015,"5804,73","1668,16","132,00","8006,63","-135,42","0,00","12420,53","880,13","1330,00","2619,06","603,91"
22/02/2015,"4132,14","1545,45","132,00","8017,00","-218,83","0,00","12839,64","1412,04","1330,00","3146,17","612,78"
23/02/2015,"5168,35","1345,61","132,00","8028,79","-194,24","0,00","12819,45","2456,80","1589,83","3824,91","545,47"
24/02/2015,"5144,59","1274,17","132,00","8288,34","-161,53","0,00","13654,23","2354,48","1690,09","3708,28","508,84"
